match_name,gi_num,present_in_rs_v219
Cellulophaga phage phi18:3,526177357,yes
Cellulophaga phage phi48:2,526177323,yes
Cellulophaga phage phi46:3,526177198,yes
Cellulophaga phage phi12:1,526177130,yes
Cellulophaga phage phi18:1,526177061,yes
Cellulophaga phage phi19:3,526176928,yes
Cellulophaga phage phi4:1,526176726,yes
Listeria phage LP-110,526176488,yes
Salmonella phage iEPS5,526176405,yes
Flavobacterium phage 6H,526120135,yes
Ralstonia phage RSS20 DNA,526120125,yes
Ralstonia phage RSS30 DNA,526120121,yes
Bacillus phage phiNIT1 DNA,526118413,yes
Salmonella phage FSL SP-004,526003613,yes
Salmonella phage FSL SP-058,526003444,yes
Salmonella phage FSL SP-076,525972736,yes
Salmonella phage FSL SP-088,525972436,yes
Salmonella phage FSL SP-030,525972353,yes
Salmonella phage Jersey,525972166,yes
Vibrio phage vpms1,525972083,yes
Salmonella phage FSL SP-031,525971974,yes
Stenotrophomonas phage phiSMA7 proviral,514361131,yes
Serratia phage Eta,514361045,yes
Vibrio phage VFJ,514361032,yes
Mycobacterium phage Leo,514360972,yes
Vibrio phage pYD38-B,514231540,yes
Rhizobium phage RR1-A,514231471,yes
Prochlorococcus phage P-SSM3,514231256,yes
Paenibacillus phage PG1,514231188,yes
Rhizobium phage RR1-B,514231135,yes
Vibrio phage JA-1,514052000,yes
Mycobacterium phage Job42,514051825,yes
Mycobacterium phage Jobu08,514051739,yes
Mycobacterium phage BTCU-1,514051665,yes
Alteromonas phage vB_AmaP_AD45-P1,514051544,yes
Cronobacter phage CR5,514051312,yes
Halorubrum phage CGphi46,514051256,yes
Synechococcus phage S-IOM18,514051046,yes
Vibrio phage pYD38-A,514050968,yes
Synechococcus phage S-CAM8 strain S-CAM8 06008BI06,514050763,yes
Escherichia phage Lw1,510953439,yes
Mycobacterium phage ArcherS7,509142397,yes
Rhodococcus phage E3,509142176,yes
Mycobacterium phage Gizmo,509141934,yes
Burkholderia phage ST79,509141608,yes
Streptomyces phage Zemlya,509141363,yes
Mycobacterium phage Chy4,509141289,yes
Acinetobacter phage AB3,509141259,yes
Bacillus phage MG-B1,509141216,yes
Mycobacterium phage WIVsmall,509141026,yes
Staphylococcus phage StauST398-3,509140939,yes
Shigella phage pSf-1,509140844,yes
Staphylococcus phage StauST398-1,509140090,yes
Clostridium phage vB_CpeS-CP51,509140039,yes
Mycobacterium phage CASbig,509139941,yes
Staphylococcus phage StauST398-2,509139878,yes
Mycobacterium phage Chy5,509139383,yes
Salmonella phage L13,509139354,yes
Acinetobacter phage Abp1,509139299,yes
Salmonella phage Chi,509139223,yes
Mycobacterium phage Phaux,508180789,yes
Mycobacterium phage Newman,508180468,yes
Mycobacterium phage Phrux,508180091,yes
Mycobacterium phage HINdeR,508179906,yes
Mycobacterium phage Severus,508179825,yes
Mycobacterium phage Murphy,508179165,yes
Streptomyces phage Sujidade,508178941,yes
Mycobacterium phage Fishburne,508178429,yes
Mycobacterium phage SiSi,508178111,yes
Pseudoalteromonas phage RIO-1,508178009,yes
Mycobacterium phage PegLeg,508177859,yes
Streptomyces phage Lika,508177721,yes
Mycobacterium phage PattyP,508177514,yes
Pseudomonas phage UFV-P2,496838603,yes
Xanthomonas phage CP1 DNA,482849224,yes
Vibrio phage henriette 12B8,481019622,yes
Cyanophage Syn30,481019412,yes
Vibrio phage martha 12B12,481019146,yes
Vibrio phage douglas 12A4,481019069,yes
Vibrio phage helene 12B3,481018805,yes
Mycobacterium phage vB_MapS_FF47,479336577,yes
Pseudomonas phage Phi-S1,479336529,yes
Mycobacterium phage Butters,479336462,yes
Enterobacteria phage JL1,476572429,yes
Bacillus phage PM1 DNA,472438250,yes
Leuconostoc phage P793,472438181,yes
Aeromonas phage Aes012,472437937,yes
Staphylococcus phage vB_SauM_Romulus,472437772,yes
Mycobacterium phage First,472437676,yes
Bacillus cereus bacteriophage vB_BceM_Bc431v3,472437437,yes
Listeria phage vB_LmoM_AG20,472437258,yes
Leuconostoc phage phiLN04,472437218,yes
Prochlorococcus phage P-GSP1,472343459,yes
Cyanophage S-SSM4,472343238,yes
Prochlorococcus phage P-SSP3,472343184,yes
Cyanophage SS120-1,472343131,yes
Vibrio phage VBP32,472342987,yes
Synechococcus phage S-RIP1,472342931,yes
Rhodovulum phage RS1,472342874,yes
Cyanophage KBS-P-1A,472342816,yes
Vibrio phage PWH3a-P1,472342352,yes
Cellulophaga phage phiSM,472342165,yes
Synechococcus phage S-RIM2 R1_1999,472341954,yes
Cyanophage KBS-S-2A,472341456,yes
Loktanella phage pCB2051-A,472341379,yes
Synechococcus phage S-SKS1,472340845,yes
Vibrio phage VBM1,472340788,yes
Pseudoalteromonas phage pYD6-A,472340688,yes
Vibrio phage VBP47,472340572,yes
Cyanophage MED4-184,472340512,yes
Vibrio phage pYD21-A,472340437,yes
Cyanophage MED4-213,472340220,yes
Salicola phage CGphi29,472340155,yes
Vibrio phage 11895-B1,472339958,yes
Cellulophaga phage phiST,472339853,yes
Psychrobacter phage pOW20-A,472339781,yes
Rhodobacter phage RC1,472339668,yes
Synechococcus phage S-RIP2,472339613,yes
Synechococcus phage S-CAM1,472339381,yes
Prochlorococcus phage P-SSP10,472339117,yes
Rhodobacter phage RcapNL,461474957,yes
Vibrio phage VvAW1,460042888,yes
Synechococcus phage S-RIM8 A.HR1,460042674,yes
Pelagibacter phage HTVC008M,460042436,yes
Pelagibacter phage HTVC019P,460042372,yes
Pelagibacter phage HTVC011P,460042324,yes
Pelagibacter phage HTVC010P,460042257,yes
Bacillus phage Finn,460042176,yes
Bacillus phage Curly,460042095,yes
Bacillus phage Andromeda,460042012,yes
Bacillus phage Eoghan,460041934,yes
Salmonella phage S16,456351087,yes
Klebsiella phage KP27,448260543,yes
Escherichia phage phAPEC8,448260273,yes
Cronobacter sakazakii phage vB_CskP_GAP227,448260223,yes
Dickeya phage vB_DsoM_LIMEstone1,448259945,yes
Xanthomonas citri phage CP2 DNA,448245173,yes
Klebsiella phage JD001,448245104,yes
Pseudomonas phage JBD24,448245045,yes
Pseudomonas phage JBD5,448244985,yes
Pectobacterium phage phiTE,448244742,yes
Pseudomonas phage JBD88a,448244686,yes
Staphylococcus phage phi7401PVL DNA,448244641,yes
Pseudomonas phage JBD30,448244584,yes
Lactobacillus phage AQ113,446730228,yes
Streptococcus phage TP-J34,444475874,yes
Serratia phage phiMAM1,440789269,yes
Sphingomonas phage PAU,435844510,yes
Agrobacterium phage 7-7-1,435844340,yes
Enterobacteria phage mEp237,435439265,yes
Pseudomonas phage KPP12 DNA,431811082,yes
Cronobacter phage ENT39118,431811043,yes
Erwinia phage ENT90,431810934,yes
Helicobacter phage KHP40 DNA,431810901,yes
Tetrasphaera phage TJE1,431810834,yes
Erwinia phage phiEaH2,431810571,yes
Helicobacter phage KHP30 DNA,431810540,yes
Cronobacter phage ENT47670,431810493,yes
Erwinia amylovora phage phiEa100,431810441,yes
Clostridium phage phi8074-B1,431810358,yes
Pseudomonas phage AF,431810292,yes
Enterobacteria phage Hgal1,431810287,yes
Staphylococcus phage phi5967PVL DNA,431810244,yes
Enterobacteria phage C-1 INW-2012,431810239,yes
Pseudomonas phage vB_PaeM_C2-10_Ab1,431809933,yes
Burkholderia phage BcepMigl,431809857,yes
Lactobacillus phage ATCC 8014-B1,431809796,yes
Staphylococcus phage StB20,431809730,yes
Staphylococcus phage StB27,431809676,yes
Pseudomonas phage PaP1,431809518,yes
Bacillus phage vB_BtS_BMBtp2,431809464,yes
Salmonella phage SKML-39,431809199,yes
Yersinia phage phiR1-RT,431808936,yes
Pseudomonas phage vB_PaeP_p2-10_Or1,429315958,yes
Enterobacteria phage HK542,428783345,yes
Enterobacteria phage HK106,428783279,yes
Enterobacteria phage HK544,428783215,yes
Staphylococcus phage JD007,428782997,yes
Escherichia phage ADB-2,428782918,yes
Enterobacteria phage HK578,428782857,yes
Enterobacteria phage HK630,428782787,yes
Vibrio phage vB_VpaM_MAR,428782724,yes
Enterobacterial phage mEp390,428782664,yes
Enterobacterial phage mEp213,428782589,yes
Enterobacteria phage HK633,428782521,yes
Enterobacteria phage vB_EcoS_Rogue1,428782446,yes
Enterobacteria phage HK225,428782376,yes
Enterobacteria phage mEp460,428782316,yes
Enterobacterial phage mEp234,428782254,yes
Enterobacteria phage HK446,428782193,yes
Vibrio phage vB_VpaS_MAR10,428782085,yes
Enterobacteria phage HK629,428782011,yes
Enterobacteria phage HK140,428781939,yes
Enterobacteria phage mEpX1,428781872,yes
Enterobacteria phage mEp235,428781810,yes
Enterobacteria phage M,428781805,yes
Enterobacteria phage mEp043 c-1,428781735,yes
Enterobacteria phage mEpX2,428765613,yes
Liberibacter phage SC2,423262507,yes
Liberibacter phage SC1,423262466,yes
Ralstonia phage RSS0,423262453,yes
Salmonella phage SPN3UB,423262377,yes
Aeromonas phage Aes508,423262092,yes
Pectobacterium phage PP1,423262043,yes
Acinetobacter phage YMC_09_02_B1251_ABA_BP,423261980,yes
Salinivibrio phage CW02,423261909,yes
Salmonella phage vB_SenS-Ent1,423261846,yes
Aeromonas phage CC2,423261416,yes
Salmonella phage PhiSH19,422937778,yes
Vibrio phage pVp-1,422937620,yes
Aeromonas phage phiAS7,422937568,yes
Aeromonas phage vB_AsaM-56,422937484,yes
Enterobacteria phage vB_KleM-RaK2,422936890,yes
Bdellovibrio phage phi1422,422936813,yes
Clostridium phage phi24R,422936709,yes
Pectobacterium phage ZF40,422936640,yes
Escherichia phage phiKT,422936608,yes
Vibrio phage vB_VchM-138,422936540,yes
Enterobacteria phage vB_EcoM-FV3,422936321,yes
Bacillus phage BCD7,422935955,yes
Erwinia phage vB_EamP-S6,422935839,yes
Staphylococcus phage SMSAP5,422935796,yes
Helicobacter phage 1961P,422935762,yes
Staphylococcus phage SA11,422935575,yes
